mm;23:59;19.17;http//www.com.com;http//www.com.com;!_HKJLF;15:25
!_HKJLF;00:01;21;!ooth;http//www.com.com;!_HKJLF;phrase des prases
1;04:35;23:58;phrase des prases;mm;1;phrase des prases
!ooth;5;5;!_HKJLF;1;http//www.com.com;!ooth
Maldjd;5;21;mm;Maldjd;15:25;http//www.com.com
!ooth;00:01;6;Maldjd;1;Maldjd;!_HKJLF
1;21;6;1;phrase des prases;phrase des prases;Maldjd
15:25;5;00:01;Maldjd;http//www.com.com;http//www.com.com;1
!_HKJLF;6;0-00;!_HKJLF;mm;15:25;!_HKJLF
mm;00:01;5;phrase des prases;15:25;!ooth;Maldjd
http//www.com.com;5;0-00;mm;1;phrase des prases;15:25
!_HKJLF;23:58;04:35;1;15:25;mm;Maldjd
Maldjd;6;23:59;mm;!ooth;!ooth;1
Maldjd;19.17;04:35;Nom;!ooth;!_HKJLF;15:25
phrase des prases;21;00:00;phrase des prases;mm;15:25;15:25
mm;19.17;6;mm;1;http//www.com.com;phrase des prases
!_HKJLF;04:35;19.17;1;Maldjd;mm;!_HKJLF
15:25;19.17;00:00;!_HKJLF;15:25;!_HKJLF;1
!ooth;23:59;00:01;http//www.com.com;!ooth;1;1
!ooth;00:00;21;Nom;mm;phrase des prases;phrase des prases
15:25;0-00;21;1;mm;!ooth;http//www.com.com
Maldjd;6;00:00;15:25;phrase des prases;Maldjd;mm
!ooth;23:59;21;phrase des prases;!_HKJLF;15:25;Maldjd
!_HKJLF;00:00;6;http//www.com.com;!_HKJLF;phrase des prases;http//www.com.com
1;23:58;23:59;!_HKJLF;!_HKJLF;1;Maldjd
mm;6;00:01;!ooth;1;1;!_HKJLF
!ooth;04:35;6;mm;!ooth;!_HKJLF;15:25
phrase des prases;0-00;23:59;!ooth;Maldjd;Maldjd;Maldjd
http//www.com.com;23:59;04:35;15:25;1;1;1
phrase des prases;00:01;00:01;Nom;!ooth;http//www.com.com;15:25
!ooth;21;19.17;!_HKJLF;mm;!_HKJLF;mm
1;19.17;19.17;http//www.com.com;15:25;!ooth;1
1;5;04:35;phrase des prases;http//www.com.com;phrase des prases;http//www.com.com
mm;21;23:59;mm;!ooth;1;!ooth
1;0-00;5;Nom;http//www.com.com;http//www.com.com;Maldjd
Maldjd;19.17;0-00;!ooth;1;15:25;phrase des prases
15:25;6;04:35;1;1;http//www.com.com;Maldjd
!ooth;0-00;23:58;15:25;!_HKJLF;15:25;Maldjd
!_HKJLF;19.17;00:00;Maldjd;!_HKJLF;1;Maldjd
http//www.com.com;21;00:00;!ooth;!ooth;http//www.com.com;mm
mm;23:59;5;Maldjd;Maldjd;Maldjd;15:25
15:25;0-00;00:01;http//www.com.com;15:25;1;!_HKJLF
!ooth;21;21;15:25;15:25;Maldjd;phrase des prases
phrase des prases;04:35;23:58;http//www.com.com;phrase des prases;1;15:25
